Id;Name;Host Id;Host Name;Neighbourhood Group;Neighbourhood;Latitude;Longitude;Room Type;Price;Minimum Nights;Number of Reviews;Last Review;Reviews per Month;Calculated Host Listings Count;Availability 365;Coordonnees
6771559;Bright and cozy Parisian studio;35452753;Dag;;Ménilmontant;48.87543519877472;2.400039783871241;Entire home/apt;49;2;4;2015-08-17;1.5;1;62;48.8754351988, 2.40003978387
7588170;Lovely Appartment with balcony;27734534;Grégoire;;Ménilmontant;48.85750522462025;2.4044110556869605;Private room;50;5;1;2015-08-11;1.0;1;11;48.8575052246, 2.40441105569
4762654;Studio Paris 20eme;8919890;Gaelle Et Jérôme;;Ménilmontant;48.857998998251404;2.40269072311284;Entire home/apt;65;4;13;2015-08-30;1.81;2;122;48.8579989983, 2.40269072311
6831534;T2 très agréable 40m2 proche Nation;13226004;Romain;;Ménilmontant;48.84751961501165;2.408256917699426;Entire home/apt;65;6;0;;;1;54;48.847519615, 2.4082569177
6615929;Big apartment in Gambetta, Paris 20;34626094;Ann;;Ménilmontant;48.86126517893821;2.405279390191825;Entire home/apt;110;3;1;2015-06-19;0.39;1;146;48.8612651789, 2.40527939019
897396;Apartment Villa de l'Ermitage;4787789;Vladimir & Yuna;;Ménilmontant;48.86982610759823;2.3935092998496867;Entire home/apt;63;3;30;2015-07-05;1.02;1;255;48.8698261076, 2.39350929985
7217894;Great Studio renewed in lively area;29865453;Camille2;;Ménilmontant;48.85976183532728;2.390759455380909;Entire home/apt;55;2;0;;;3;276;48.8597618353, 2.39075945538
842447;2 pièces Paris 20ème;3054269;Amelie Et Jérémy;;Ménilmontant;48.85652309449147;2.397446081110251;Entire home/apt;80;2;0;;;1;0;48.8565230945, 2.39744608111
5675597;Lovely appartment in a trendy area;3184405;Bérengère;;Ménilmontant;48.85690439987955;2.3981820598523864;Entire home/apt;74;2;1;2015-05-12;0.26;1;145;48.8569043999, 2.39818205985
525794;Lovely and sunny 1 BD -Paris 20 th;2584574;Nathalie;;Ménilmontant;48.860836249968294;2.399377896012888;Entire home/apt;40;3;66;2015-08-07;2.6;1;314;48.86083625, 2.39937789601
5310192;chambre á paris;27505863;Lamia;;Ménilmontant;48.86523979153786;2.3864484333352647;Private room;50;1;6;2015-06-13;1.19;1;350;48.8652397915, 2.38644843334
4536979;Spacious loft for 10 - 5 bedrooms;15659314;;;Ménilmontant;48.85683506140838;2.4041361253918687;Entire home/apt;320;2;4;2015-08-14;0.87;1;36;48.8568350614, 2.40413612539
7935957;Très bel appartement spacieux;41165349;Koudieji;;Ménilmontant;48.84732929134585;2.4114311342815316;Entire home/apt;100;3;0;;;1;365;48.8473292913, 2.41143113428
5244233;Cosy apartment in central Paris;27061953;;;Ménilmontant;48.85884587012081;2.3918819124667134;Entire home/apt;90;3;2;2015-08-02;0.4;1;185;48.8588458701, 2.39188191247
623986;Appartement, 800 ft2, Paris, Nation;3095331;;;Ménilmontant;48.85066063045677;2.4027664249670746;Entire home/apt;100;7;0;;;1;365;48.8506606305, 2.40276642497
