Title,Publication_year,Author
Banquets of the Black Widowers ,1984,I. Asimov
Casebook of the Black Widowers,1980,I. Asimov
More Tales of the Black Widowers,1976,I. Asimov
Tales of the Black Widowers,1974,I. Asimov
The Caves of Steel,1954,I. Asimov
The Key Word and Others Mysteries,1977,I. Asimov
The Naked Sun,1957,I. Asimov
The Robots of Dawn,1983,I. Asimov
American Gods ,2001,N. Gaiman
Anansi Boys,2005,N. Gaiman
Coraline ,2002,N. Gaiman
Good Omens ,1990,N. Gaiman
Neverwhere ,1996,N. Gaiman
Stardust ,1999,N. Gaiman
Do Androids Dream of Electric Sheep? ,1968,P. K. Dick
Dr. Futurity ,1960,P. K. Dick
Gather Yourselves Together ,1994,P. K. Dick
Mary and the Giant ,1987,P. K. Dick
Solar Lottery ,1955,P. K. Dick
The Broken Bubble ,1988,P. K. Dick
The Cosmic Puppets ,1957,P. K. Dick
The Man in the High Castle,1962,P. K. Dick
The World Jones Made ,1956,P. K. Dick
Vulcan's Hammer ,1960,P. K. Dick
A Graveyard For Lunatics,1990,R. Bradbury
Dandelion Wine,1957,R. Bradbury
Death Is a Lonely Business,1985,R. Bradbury
Farenheit 451,1953,R. Bradbury
The Halloween Tree,1972,R. Bradbury
The Martian Chronicles,1950,R. Bradbury
At Winter's End,1988,R. Silveberg
Letters From Atlantis,1990,R. Silveberg
Lord Valentine's Castle,1980,R. Silveberg
Project Pendulum,1989,R. Silveberg
Blood of Amber,1886,R. Zelazny
Knight of Shadows,1989,R. Zelazny
Nine Princes in Amber (1970),1970,R. Zelazny
Sign of Chaos,1987,R. Zelazny
Sign of the Unicorn (1975),1975,R. Zelazny
The Courts of Chaos,1978,R. Zelazny
The Guns of Avalon (1972),1972,R. Zelazny
The Hand of Oberon (1976),1976,R. Zelazny
Trumps of Doom,1985,R. Zelazny
A Wizard of Earthsea ,1968,U. K. Le Guin
Tehanu ,1990,U. K. Le Guin
The Farthest Shore ,1972,U. K. Le Guin
The Other Wind ,2001,U. K. Le Guin
The Rules of Names,1964,U. K. Le Guin
The Tombs of Atuan ,1971,U. K. Le Guin
