Army	military
Shovel	tool
Physical change	change
Bath	thing
Ziggy Stardust	character
Terry Gilliam	cartoonist
Belize	country
President of Russia	leader
Hillary Rodham Clinton	Senator
Ilia	prefectures
Georges Brassens	singer
Edip Yuksel	student
Hodgenville, Kentucky	town
AC/DC	band
São Tomé and Príncipe	nation
Disney Channel	network
North and South	novel
Loreto Region	region
Bismuth	metal
Pinocchio	person
Phylum	rank
Chipmunk	rodent
Ritual	actions
John the Apostle	apostles
Elle Macpherson	supermodel
Kookaburra Sport	company
Alkmene	person
Medusa (animal)	animals
Haiphong	city
Crown-of-thorns starfish	star
Pacific Islands	islands
Vaquita	porpoise
Mud	mixture
Jons Jacob Berzelius	chemist
K2	mountain
Gran Colombia	country
Great Fire of London	tragedy
Spike Spiegel	character
Nu metal	music
Orange (fruit)	fruit
Moat	water
Smash (album)	albums
Scone, Perth and Kinross	town
Nakhodka	city
Paul Stanley (album)	album
Joachim Löw	footballer
Communication Studies	study
2029	year
Bruges	city
John Collins	footballer
Lusaka	capital
Piston	shaft
Manny Gamburyan	artist
Petros Duryan	poet
Hadith	report
Magnetosphere	region
Thebes, Greece	city
Elegance	attribute
General Motors railway station, Melbourne	station
Escopetarra	guitar
Hittites	people
Westdeutscher Rundfunk	institution
Kirkwood gap	gaps
Fluid mechanics	study
Phoenicia	civilization
